date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
2019-09-13,Also $amt is only about 2 stdev rich today if you look at the last 10 years.,"$AMT Okay, I surrender. Sold it Monday and would love to buy it back. Should probably buy some for the grandchildren and forget it.",5G #REITs: Where #tech meets #RealEstate  https://forbes.com/sites/moneyshow/2019/09/12/5g-reits-where-tech-meets-real-estate/#5231853f2fa7 … #FifthGeneration #cellular #wireless #technology #superior #speed #scope #scale #national #security #imperative $CCI $SBA $AMT,"$MSTO #Alert Up 50%  $FNMA $FMCKJ $FMCC $FNMAS
$PLD $SPG $PSA $AMT $WELL $EQR $AVB $O $SNH $ZG $CBL $STAG $APLE $UNIT $VNO $APTS $TRNO $CBRE
#realestate #realestateinvesting #realestateinvestor #RealEstateNews #realestateagent #propertymanagement
#Banking #mortgage #mortgages",$MSTO #ALERT! Up 50% 5.4m Float #RealEstate #asset #company $DHI $LEN $PHM $NVR $KBH $TMHC $MTH $TOL $CCS $LGIH $AMT $SPG $CCI $PSA $PLD $EQIX $WY $EQR $AVB $DLR $BAM $NLY $LKREF $GECFF $KLPEF $UNBLF #nasdaq #dow #Trader #stocktowatch #stocks #StockAlert #Daytrader #Investor,I've been acquiring $CCI but all of these 5G REITs are worth a look....  https://www.forbes.com/sites/moneyshow/2019/09/12/5g-reits-where-tech-meets-real-estate/#3fe3108c2fa7 … $AMT $SBA $T $VZ $TMUS,"$AMT in Uptrend: price may jump up because it broke its lower Bollinger Band on September 10, 2019. View odds for this and other indicators:  https://tickeron.com/go/742486  #AmericanTower #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today pic.twitter.com/JkHDjUT72r",$AAPL If you looking to invest more read up on American Tower  $AMT,"We're still looking for someone else who can beat our performances!
Help us find them! RT please. 
$AMT
Last close: 2019-09-12
Signal: ** SELL **
Since: 2019-09-06 
Our performance: % 5.91
 https://www.bsmarker.com/nyse_tec/?wdt_search=AMT …
#trading
#stocks
#stockstowatch
#stockstotrade
$SPX pic.twitter.com/zvbadEQzkl","The first informative #App on Pivot Points.
Stock: $AMT
Last close: 2019-09-12 ($ 218.850)
PIVOT POINT
-------------
R1: $ 220.577 
R2: $ 222.303
L1: $ 215.897
L2: $ 212.943
-------------
Download now, it's free!
 https://play.google.com/store/apps/details?id=com.bsmarker.pivot …
#tradingview
#stocks
#stockstowatch","Our top suggestions are $AMT $HON for holding long. More information about buy price range, charts and expected buy returns are given in our Closing Bell video (9/12/2019), only  on JusTrading YouTube channel, check it out.... https://stocktwits.com/justradingUS/message/177479746 …","$AMT $UNH $BA $APD $DIS are our stock opportunities for buying long, but with higher risk than our top suggestions. More information about buy price range, charts and expected buy returns are given in our Closing Bell video...  https://stocktwits.com/justradingUS/message/177479218 …","$AAPL To supplement Apple if you want to play the 5G roll world wide , you gotta own American Tower $AMT",American Tower Corp (AMT) Stake Increased by Kings Point Capital Management  https://stocknewstimes.com/2018/03/12/kings-point-capital-management-has-8-86-million-holdings-in-american-tower-corp-amt.html … $AMT #stocks #stockmarket,$cci $sba $amt 5G REITs: Where Tech Meets Real Estate via @forbes  http://www.forbes.com/sites/moneyshow/2019/09/12/5g-reits-where-tech-meets-real-estate/ …,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-14,"September 16th 2019 -New BUY RATINGS Issued For:
$FAST $EA $RNWF $ARNC $CMS $ISBC $GPRO $NWBO $DEAC $XL $ATVVF $CCK $BHP $CAH $MMC $CRZO $CHS $FUSZ $LYB $TRCO $NLST $LPI $AMT $STM $AGTK
 https://askwarrenhq.blogspot.com/ ",Sifting through my potential buy list for the week... $ADP $AINV $AMT $ARI $AVGO $BFAM $BPY $BXMT $DIS ...... pic.twitter.com/woWDyUM9oI,$AMT upcoming event September 17: Goldman Sachs 28th Annual Communacopia Conference. Options expiring on September 20 that cover the event have an implied move of ±2.4%  https://marketchameleon.com/Overview/AMT/OptionChain/?e=1253_20190920 …,I would love to see details as to how it would work. Does everyone get the same $amt? Or is it a free market system with Alabama/Duke paying the top prospects $5million/yr. and then do the lesser players/ not get money or scholarships?,"We're still looking for someone else who can beat our performances!
Help us find them! RT please. 
$AMT
Last close: 2019-09-13
Signal: ** SELL **
Since: 2019-09-06 
Our performance: % 7.4
 https://www.bsmarker.com/nyse_tec/?wdt_search=AMT …
#trading
#stocks
#stockstowatch
#stockstotrade
$SPX pic.twitter.com/NSzi2OLyBq","The first informative #App on Pivot Points.
Stock: $AMT
Last close: 2019-09-13 ($ 215.370)
PIVOT POINT
-------------
R1: $ 218.439 
R2: $ 221.508
L1: $ 213.112
L2: $ 210.854
-------------
Download now, it's free!
 https://play.google.com/store/apps/details?id=com.bsmarker.pivot …
#tradingview
#stocks
#stockstowatch",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-15,"$AMT in Uptrend: 50-day Moving Average broke above 200-day Moving Average on July 19, 2018. View odds for this and other indicators:  https://tickeron.com/go/745619  #AmericanTower #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today pic.twitter.com/izpRJxFh8y","$ul sold more soap in India.
$El sold more makeup in China.
$msft sold more Azure contracts.
$cost sold me more groceries.
$amt built some towers.

That's what really mattered last week.  https://twitter.com/HayekAndKeynes/status/1173363357686087683 …","$AMT is rated a Buy since September 24, 2018 and is 30% above its median level.  http://bit.ly/2ngZr71  pic.twitter.com/2652miAOjk",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-16,$AMT 20-Sep-19 Straddle Implies a ±2.1% move. Sep 17 Goldman Sachs 28th Annual Communacopia Conference  https://marketchameleon.com/Overview/AMT/OptionSummary/ …,$AMT - American Tower adds Lockheed's Tanner to board  https://seekingalpha.com/news/3499507-american-tower-adds-lockheeds-tanner-board?source=tweet …,"We're still looking for someone else who can beat our performances!
Help us find them! RT please. 
$AMT
Last close: 2019-09-13
Signal: ** SELL **
Since: 2019-09-06 
Our performance: % 7.4
 https://www.bsmarker.com/nyse_tec/?wdt_search=AMT …
#trading
#stocks
#stockstowatch
#stockstotrade
$SPX pic.twitter.com/6kgF18yuz7","The first informative #App on Pivot Points.
Stock: $AMT
Last close: 2019-09-13 ($ 215.370)
PIVOT POINT
-------------
R1: $ 218.439 
R2: $ 221.508
L1: $ 213.112
L2: $ 210.854
-------------
Download now, it's free!
 https://play.google.com/store/apps/details?id=com.bsmarker.pivot …
#tradingview
#stocks
#stockstowatch","Some of the Real Estate pearls which got hit, but still are shining YTD - $AMT $SBAC","American Tower $AMT nearly 2500 Jan. 2021 $320 OTM calls bought $1.05 today, spot where 2600 opened 8-22 through 8-26

*Far OTM, will be monitoring OI change tomor",$AMT American Tower $CCI Crown Castle - Thanks @rbradthomas for using #fastgraphs in your article:  #Investing #stocks #markets  https://seekingalpha.com/article/4291692-investors-cell-tower-reits-price-right … pic.twitter.com/xLjsvy9wkw,$AMT $CCI - Investors Should Own Cell Tower REITs (When The Price Is Right) https://seekingalpha.com/article/4291692-investors-cell-tower-reits-price-right?source=tweet …,"$AMT American Tower has elected Bruce Tanner to the board. Tanner had been chief financial officer at Lockheed Martin from September 2007 to February 2019, and had joined Lockheed ..  https://api.newsfilter.io/articles/american-tower-adds-lockheeds-tanner-to-board-0fed45ad7d13f5ce80e1c998aa2e7781 …","$MSTO #News Out! #Alert $FNMA $FMCKJ $FMCC $FNMAS
$PLD $SPG $PSA $AMT $WELL $EQR $AVB $O $SNH $ZG $CBL $STAG $APLE $UNIT $VNO $APTS $TRNO $CBRE
#realestate #realestateinvesting #realestateinvestor #RealEstateNews #realestateagent #propertymanagement
#Banking #mortgage #mortgages",$AMT $CCI - Investors Should Own Cell Tower REITs (When The Price Is Right)  https://seekingalpha.com/article/4291692-investors-cell-tower-reits-price-right?source=tweet … *my* first post on AMT was on August 11th;  https://stocktw...  https://stocktwits.com/panda317/message/177663251 … pic.twitter.com/Q3UllNhlsH,Recent $AMT technical alerts: Fell Below 50 DMA plus 2 more alerts...  https://swingtradebot.com/equities/AMT ,"Our new top suggestion is $UNH for buying long, but $AMT for holding long. More information about buy price range, charts and expected buy returns are given in our Closing Bell video (9/13/2019), only  on JusTrading YouTube...  https://stocktwits.com/justradingUS/message/177657023 …","$AMT $MRK $GD $ECL $DIS are our stock opportunities for buying long, but with higher risk than our top suggestions. More information about buy price range, charts and expected buy returns are given in our Closing Bell video...  https://stocktwits.com/justradingUS/message/177656594 …",Investors Should Own Cell Tower REITs (When The Price Is Right) $AMT  https://seekingalpha.com/article/4291692 ,Investors Should Own Cell Tower REITs (When The Price Is Right) $AMT  https://seekingalpha.com/article/4291692 ,$AMT $CCI - Investors Should Own Cell Tower REITs (When The Price Is Right)  https://seekingalpha.com/article/4291692-investors-cell-tower-reits-price-right?source=feed_f&utm_campaign=twitter_automated&utm_medium=social&utm_source=twitter …,"$AMT in Uptrend: 50-day Moving Average broke above 200-day Moving Average on July 19, 2018. View odds for this and other indicators:  https://tickeron.com/go/747448  #AmericanTower #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today pic.twitter.com/gpyAmtf8Rq",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-17,Largest $Notional Buy On Close Order Imbalances $TSS $MDT $TGT $FIS $DLR $AMT $CBS $KO $BAC $MRK  https://marketchameleon.com/Reports/StockOrderImbalanceReport/ …,$AMT going here.  The real 5G leader.,Financial Comparison: Duke Realty $DRE and American Tower $AMT  http://dakotafinancialnews.com/?p=1195963 ,"American Tower adds Bruce L. Tanner (Fmr CFO, Lockheed Martin Corporation) to Board $AMT #corpgov  http://bit.ly/2lSqjgn ",Where is #money flowing today?  https://www.hedgefundtips.com/where-is-money-flowing-today-89/ … $SPGI $CCI $SBAC $CME $AMT $ICE $VTR $GM $TSN $ABBV $AAL $ULTA $BMY $SYK,Our official alerts to all our members:  $AMT $AXP $ULTA $SPLK $NFLX  all beating the market,Top of my watchlist $HUYA $AMT $IPHI $STNE $HXL,I gave 3 swing trades alert to my subscribers yesterday.  One ran from $232 to $236.  Another one ran from $215 to $221 this morning.  The last one hit $119 from $116.50 yesterday.  All winners:  Take a look:  $AMT $UNH and $AXP. @OptionsPastor @wallstreetstock,"HUGE HERE,LOAD UP,,ITDN  CEO  got stake  $49,506,515 USD  in Lam Soon (Hong Kong) Limited and will M  $CEO $AMT $ITDN http://investorshub.advfn.com/boards/read_msg.aspx?message_id=151182735 …","HUGE HERE,LOAD UP,,ITDN  CEO  got stake  $49,506,515 USD  in Lam Soon (Hong Kong) Limited and will M  $CEO $AMT $ITDN http://investorshub.advfn.com/boards/read_msg.aspx?message_id=151182697 …","ITDN  CEO  got stake  $49,506,515 USD  in Lam Soon (Hong Kong) Limited and will MERGE ITDN in someth  $CEO $AMT $ITDN http://investorshub.advfn.com/boards/read_msg.aspx?message_id=151182577 …","Interest rates ⤵️, REITs ⤴️
@investbenchmark's @KevinRKelly_ runs through some popular REITs to invest in, and @TomWhite_TDAN breaks down how to trade them.

📊 $COLD $SRVR $AMT",$AMT 5G play and a swing traders dream chat  pic.twitter.com/nRHHTKHHc4,50 DMA Support today: $TBF $SIG $MPC $LEA $FL $FCX $EWS $DBI $ORI $OLN $NUE $NGD $GPK $ATI $AMT $ALB $AEO $ACN ... https://swingtradebot.com/alerts/35-50-dma-support …,Coming up on @TDANetwork at 9:45 am ET: @OJRenick discusses $AMT & $SRVR with Kevin Kelly from Benchmark. I'll look at some #optiontrading strategies...Tune in! pic.twitter.com/XVpkWOvSV3,#Stand #clear of those who #wish to have your #hands that they would #cut it #off. $MTCH $SPLK $KLAC $NOVO $SM $JAG $LIN $ULTA $ADBE $CXO $TXT $DVA $O $DLR $WELL $TSN $PLD $ALXN $CCI $AMT $CVE $NS $MGY $CVE $CL $ALXN $PNC $ACRS pic.twitter.com/4P6UNiu3jp,"Our new top suggestion is $PG for buying long, but $AMAT $UNH $AMT for holding long. More information about buy price range, charts and expected buy returns are given in our Closing Bell video (9/16/2019), only  on JusTradi...  https://stocktwits.com/justradingUS/message/177766263 …","High probability patterns from MCQ’s Pattern Recognition module Update 17.September.2019

 https://mycloudquant.com/2019/09/17/high-probability-patterns-from-mcqs-pattern-recognition-module-update-17-september-2019/ …
$ETHUSD $AMGN $NFLX $AMT $AMZN $QCOM $SPXS $DLTR $UNH $CRM $EXPE $EOG $MA $ORCL $VMW $BTCUSD $LTCUSD $DAX $SPX
#Forex #CRYPTO #patternrecognition",$AMT in Downtrend: Stochastic indicator stays in oversold zone for 6 days. View odds for this and other indicators:  https://tickeron.com/go/750410  #AmericanTower #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today pic.twitter.com/ixa1xk5aTX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-18,"Scan results - 1,2,3 Retracement Bearish today: $WMGI $HEI.A $MFGP $ANTM $VYGR $WK $SREA $ULTA $HEI $SBAC $CYBR $ENPH $MMSI $ATRC $LOPE $HQY $WIX $AMT $CGC $PAM ... https://swingtradebot.com/events/36-1-2-3-retracement-bearish/equities?selected_date=2019-09-18 …",my WL $SHOP $AMGN $CCI $AMT $MELI $OLED $SAM  the purple are im watching not pink and not blue. i have a headache and dont feel like fixing the colors pic.twitter.com/sUFsedNGiN,"US Investors Intelligence Poll

Bulls: 53.8% (+3.8%)
Bears: 17% (-0.9%)
Correction: 29.2% (-2.9%)

#MarketSentiment
$SPY $EEM $EFA $USD
$SHOP $AMT $SIL $KL","A #weak #currency is the #sign of a weak #economy, and a weak economy #leads to a weak #nation. $AXP $XEL $CPRT $CME $HD $HRL $LIN $LRCX $ZBH $NDAQ $VTR $HCP $APD $WELL $SPGI $CDNS $KMB $AJG $KMX $YUM $AMT $AKAM $PAYX $TTWO $MSI $WEC $EW $PAYX $PPG $SYY $ALL $UAL $DLTR $SPI pic.twitter.com/F4uXOWzXaw","We're still looking for someone else who can beat our performances!
Help us find them! RT please. 
$AMT
Last close: 2019-09-17
Signal: ** BUY **
Since: 2019-09-16 
Our performance: % 2.09
 https://www.bsmarker.com/nyse_tec/?wdt_search=AMT …
#trading
#stocks
#stockstowatch
#stockstotrade
$SPX pic.twitter.com/UDSBMwtyY7","The first informative #App on Pivot Points.
Stock: $AMT
Last close: 2019-09-17 ($ 221.300)
PIVOT POINT
-------------
R1: $ 222.627 
R2: $ 223.953
L1: $ 218.747
L2: $ 216.193
-------------
Download now, it's free!
 https://play.google.com/store/apps/details?id=com.bsmarker.pivot …
#tradingview
#stocks
#stockstowatch",$AMT in Downtrend: Stochastic indicator sits in oversold zone for 7 days. View odds for this and other indicators:  https://tickeron.com/go/753439  #AmericanTower #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today pic.twitter.com/ZoJwxv7YKi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-19,$AMT calls from last week have been  fire 🔥 🔥 🔥,"Thurs (9/19/19) highest % above OR 30-min high, Up/Avg Gain of today's thirteen 30-min bars, G/L % in final 30-Min & Trading range % (Min $5, Vol > 750K, Opt Vol in any strike > 500): $HUYA $NEWM $LOGM $YPF $SEDG $GGAL $USAT $AVLR $ANGI $AMT  pic.twitter.com/xcjro7T3jO","Watchlist for 9/19 in review 

$AAPL $ADBE $ABBV $AMAT $AMT $AMZN $BA $BABA $BYND $CRON $DIS $DISH $ELY $FB $FDX $GOOG $HD $INTC $IWM $JPM $LK $LOW $LULU $LYFT $MA $MSFT $NVDA $NFLX $PINS $QQQ $RH $ROKU $SNAP $SPY
 http://t.me/stock_alerts  pic.twitter.com/JfQK6EToDN","Watchlist for 9/19 in review 

$AAPL $ADBE $ABBV $AMAT $AMT $AMZN $BA $BABA $BYND $CRON $DIS $DISH $ELY $FB $FDX $GOOG $HD $INTC $IWM $JPM $LK $LOW $LULU $LYFT $MA $MSFT $NVDA $NFLX $PINS $QQQ $RH $ROKU $SNAP $SPY
 http://t.me/breadboxalerts  pic.twitter.com/n7DCpaJF52","2 of 2:
...If not, not sure I see the upside to tower companies if it won’t fit inside an existing lease compound:  https://buff.ly/2NYWre1 
$CCI $AMT $SBAC #celltower #telecom pic.twitter.com/FZDlLOlhHT","$AMT AMT leads the way today as the best performing mega cap stock, closing up 2.46%.  https://stocknews.com/news/amt-best-worst-performing-mega-cap-stocks-for-september-19/ …",$CI $OXY $ALXN $ALGN $AMT $KR and $FSLR each gained over 2% and are Thursday's top performing $SPX #stocks. #trading,American Tower's PT raised by Morgan Stanley to $216.00. equal weight rating.  http://www.marketbeat.com/r/1270090  $AMT #AMT via @RatingsNetwork,"Today's Top 5 Technical Gainers among Large Caps: $CTAS, $PPG, $MSFT, $MCK, $AMT  http://schrts.co/ZakrypnP  #sccrankings #stockcharts","Side Charts On Radar Tomorrow:

$AMT
$GTT
$A
$SHAK

Explanation:  https://www.instagram.com/spartantradingofficial/?hl=en … pic.twitter.com/WcYWGuvVbT",👨🏼‍✈️PHOTOS OF THE ORIGINAL ART WORK AT  https://bit.ly/2M970dx  👨🏼‍✈️$LHX $TSN $CCC $BIP $NEE $AMT $HIG $BAM $DHI $UDR $FND $GNRC $XLU $SWCH $JEC $FLT $ITB $PPA $SHOP $HD $MRK $MDT $NVO $ACN $AZN $LMT $NEE $GOLD $AEP $AMT $AWK $CLX $CL $KO $CCI $DPZ $KDP $KMB $MCD $NEE $PEP $WMT pic.twitter.com/YISOzJI435,👨🏼‍✈️PHOTOS OF THE ORIGINAL ART WORK AT  https://bit.ly/2M970dx  👨🏼‍✈️$LHX $TSN $CCC $BIP $NEE $AMT $HIG $BAM $DHI $UDR $FND $GNRC $XLU $SWCH $JEC $FLT $ITB $PPA $SHOP $HD $MRK $MDT $NVO $ACN $AZN $LMT $NEE $GOLD $AEP $AMT $AWK $CLX $CL $KO $CCI $DPZ $KDP $KMB $MCD $NEE $PEP $WMT pic.twitter.com/eamf6TpeZh,"Top #SPX gainers today: $AMT $CI $ALXN $OXY $ALGN $ABC $KR $ORCL $HUM $LLY
 https://www.finscreener.com/screener/top-gainers … pic.twitter.com/0Cv9NLrUIn",#stocks always pullback from overbought level and bounce from oversold levels.  You just need to know where the levels are.  Our best strategy that can turn $1k to $1 million in weeks. @OptionsPastor $AMT $SPY $MO $NFLX $MSFT.,"Top #SPX gainers today: $AMT $CI $ALXN $OXY $ALGN $ABC $KR $ORCL $HUM $LLY
 https://www.finscreener.com/screener/top-gainers … pic.twitter.com/ip2Oz9cUCQ",$AMT is my 5G play. Safe from chip China tech trade deal. Bought some today. Already working.,Where is #money flowing today?  https://www.hedgefundtips.com/where-is-money-flowing-today-91/ … $CI $LLY $MRK $DHR $AMT $MSFT $ORCL $OXY,"Sep 19 - Stocks breaking out in afternoon trading

$EROS $HUYA $INVH $AGNC $MRNA $LLY $EXEL $AMT $CG $PACB 

Scan updates every 5 secs.
 http://stockbeep.com/bosep19p 
#stocks #trading",Boom! $AMT,"Stocks with greater movement, last 15 minutes

$NBR +/- 1.05% Nabors Industries Ltd.
$AMT +/- 0.84% American Tower Corporation (RE..
$NGD +/- 0.82% New Gold Inc.
$SLM +/- 0.67% SLM Corporation
$EQM +/- 0.48% EQM Midstream Partners, LP http://10sigma.biz/grafico.php?time=1568919181 …",$240 target almost hit on $AMT.  let's go bulls.,$AMT.  .75 to $3.20 so far.  Our next $LNC.  Be part of us or keep looking.  Your choice. https://stockspastor.com/ ,#estate asset watch - some top price gainers on Thursday - $CBPO $MELI $COKE $FICO $SEDG $EQIX $AMZN $SHW $LGND $GOOG $GOOGL $HUM $ASND $CI $LII $PODD $SPLK $SAGE $ROG $AMT $ANTM $OLED $ALGN $GRVY $PAYC $CHTR $MCK $ILMN $TSLA $ALXN $AZPN $STRA $CHE $POOL $MSTR $MDGL $AVGO $IIPR pic.twitter.com/p0js3GnbNm,"$AMT Okay ladies, I bought it back so a few puts in your account may be wise.",$AMT at almost $225 from $215.  Our weekly swing trade alert.,"Our regular room members making over 300% profit on our weekly and unmonitored trade alerts:  $AMT $215 entry alert.  Now at $224.57.  $AXP from $116.50 now getting close to $120. $UNH ran to $236 from $230 after our alert. 
@wallstreetstock",Our regular room members making over 300% profit on our weekly and unmonitored trade alerts:  $AMT $215 entry alert.  Now at $224.57.  $AXP from $116.50 now getting close to $120. $UNH ran to $236 from $230 after our alert. @wallstreetstock,$AMT closing the gap here.  https://twitter.com/sp3cul8r/status/1174044926826467328 …,American Tower $AMT Price Target Raised to $216.00  http://thecerbatgem.com/?p=3217867 ,$AMT just hit $223 from $215.  Our weekly swing trade alert,$AMT Morgan Stanley Maintains to Equal-Weight : PT $216.00  https://stockhoot.com/ExtSymbol.aspx?from=AnalystRatingTweet&symbol=AMT&t=875&Social=Twitter …,"We're still looking for someone else who can beat our performances!
Help us find them! RT please. 
$AMT
Last close: 2019-09-18
Signal: ** BUY **
Since: 2019-09-16 
Our performance: % 2.23
 https://www.bsmarker.com/nyse_tec/?wdt_search=AMT …
#trading
#stocks
#stockstowatch
#stockstotrade
$SPX pic.twitter.com/tyTid1A2wQ","The first informative #App on Pivot Points.
Stock: $AMT
Last close: 2019-09-18 ($ 221.610)
PIVOT POINT
-------------
R1: $ 223.317 
R2: $ 225.023
L1: $ 219.187
L2: $ 216.763
-------------
Download now, it's free!
 https://play.google.com/store/apps/details?id=com.bsmarker.pivot …
#tradingview
#stocks
#stockstowatch","$AMT in +2.23% Uptrend, growing for three consecutive days on September 18, 2019. View odds for this and other indicators:  https://tickeron.com/go/756551  #AmericanTower #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today pic.twitter.com/IKDn2XyQIC",$AMT: American Tower Corp current price of $221.61 is now higher than the target price of $220.53. ( https://stockflare.com/stock/AMT ),,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-20,$AMT WTF does farming have to do with antennas?  https://stocktwits.com/EquityGuru/message/178211880 …,"Watchlist Results for 9/20

$AAPL $ABBV $ADBE $AMAT $AMT $AMZN $BA $BABA $BYND $CRON $DIS $DISH $ELY $FB $FDX $GOOG $HD $INTC $IWM $JPM $LK $LOW $LULU $LYFT $MA $MSFT $NVDA $NFLX $PINS $QQQ $RH $ROKU $SNAP $SPY $TLT
 https://t.me/breadboxalerts 
#options #optionstrading #optionsflow pic.twitter.com/GYnozBzfv0",20 DMA Support today: $ELP $ORI $AWR $AMT $MSCI ... https://swingtradebot.com/alerts/34-20-dma-support …,"$AMT in +2.61% Uptrend, advancing for three consecutive days on September 19, 2019. View odds for this and other indicators:  https://tickeron.com/go/759677  #AmericanTower #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today pic.twitter.com/sKm9ey4b8G","Quad-witching today, I will only be trading A+ setups. On Watch is $MCD $MSFT $ETSY $AMT $WMT $SHOP & $FB
#options #OptionsTrading #DayTrading #Daytrader",Sometimes you just have to #check your #common #sense when #faced with #stupidity. $FNSR $ETSY $AAPL $BOLD $SEDG $NEWR $CM $CDW $UNH $URI $TAP $LLY $TXN $COST $AMT $ALXN $HUM $CI $ORCL $ANTM $EA $DHR $VMC $HAS $HCA $ADP $MDT $ZTS $FIS $MMC $EL $NEE $IBN $MDR pic.twitter.com/bCcjT6Vtjc,"$BHGE $AMT $AMGN $GE $SHW  are our stock opportunities for selling short, but with higher risk than our top suggestions. More information about sell price range, charts and expected sell returns are given in our Closing Bel... https://stocktwits.com/justradingUS/message/178126809 …","We're still looking for someone else who can beat our performances!
Help us find them! RT please. 
$AMT
Last close: 2019-09-19
Signal: ** BUY **
Since: 2019-09-16 
Our performance: % 4.75
 https://www.bsmarker.com/nyse_tec/?wdt_search=AMT …
#trading
#stocks
#stockstowatch
#stockstotrade
$SPX pic.twitter.com/xsCb2m6QbP","The first informative #App on Pivot Points.
Stock: $AMT
Last close: 2019-09-19 ($ 227.070)
PIVOT POINT
-------------
R1: $ 230.953 
R2: $ 234.837
L1: $ 221.593
L2: $ 216.117
-------------
Download now, it's free!
 https://play.google.com/store/apps/details?id=com.bsmarker.pivot …
#tradingview
#stocks
#stockstowatch",Cortland Advisers LLC Sells 35532 Shares of American Tower Corp (NYSE:AMT)  https://www.thelincolnianonline.com/2018/03/12/cortland-advisers-llc-has-63-24-million-stake-in-american-tower-corp-amt.html … $AMT #stocks #stockmarket,"Watchlist for 9/20

$AAPL $ABBV $ADBE $AMAT $AMT $AMZN $BA $BABA $BYND $CRON $DIS $DISH $ELY $FB $FDX $GOOG $HD $INTC $IWM $JPM $LK $LOW $LULU $LYFT $MA $MSFT $NVDA $NFLX $PINS $QQQ $RH $ROKU $SNAP $SPY $TLT $T $TSLA $TVIX $TWTR $UWT $UVXY $V $VXX $XOM
 https://t.me/stock_alerts  pic.twitter.com/JmptLxKJuu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-21,"We can see $AMT in a long uptrend, but what stands out is that every time it pulls back to the 20 simple moving average (SMA)… it bounces back up  https://bull.training/30HUR3b ","Top 10 Stocks by Sharpe Ratio, $1B+ Market Cap:

$ENPH 2.97
$KL 2.51
$ELP 2.43
$HSY 2.36
$SBAC 2.35
$BLL 2.31
$AWR 2.27
$SUI 2.27
$AMT 2.26
$CZZ 2.23",Watchlist. Listed by Qtr earnings growth %  Looking for the next true market leaders. Currently holding $HUYA $STNE $AMT $IPHI Seeing more and more good setups. pic.twitter.com/y3BIZPM8ID,I love $AMT $V https://twitter.com/310Value/status/1175238187733663744 …,"We're still looking for someone else who can beat our performances!
Help us find them! RT please. 
$AMT
Last close: 2019-09-20
Signal: ** BUY **
Since: 2019-09-16 
Our performance: % 4.05
 https://www.bsmarker.com/nyse_tec/?wdt_search=AMT …
#trading
#stocks
#stockstowatch
#stockstotrade
$SPX pic.twitter.com/nxHXAAYsSF","The first informative #App on Pivot Points.
Stock: $AMT
Last close: 2019-09-20 ($ 225.560)
PIVOT POINT
-------------
R1: $ 227.783 
R2: $ 230.007
L1: $ 224.033
L2: $ 222.507
-------------
Download now, it's free!
 https://play.google.com/store/apps/details?id=com.bsmarker.pivot …
#tradingview
#stocks
#stockstowatch",$AMT in Uptrend: Stochastic indicator recovers from oversold zone. View odds for this and other indicators:  https://tickeron.com/go/762396  #AmericanTower #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today pic.twitter.com/jSoHDKR2VQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-22,American Tower Corp (AMT) Shares Needle Moving 1.00%  https://danversrecord.com/2018/03/12/american-tower-corp-amt-shares-needle-moving-1-00/ … $AMT #stocks #stockmarket,"American Tower - $AMT
💰 QUOTE
$AMT was DOWN ⬇ on Fri Sep 20
Closed at 225.56 USD for a -0.66% loss from previous close
📉 📉 📉
📊 ANALYSIS
American Tower should be nationalized
☭ ☭ ☭",$AMT in Uptrend: Stochastic indicator peaks and leaves oversold zone. View odds for this and other indicators:  https://tickeron.com/go/765339  #AmericanTower #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today pic.twitter.com/hrBcQyJ35m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
